Designator,Mid X,Mid Y,Rotation,Layer
C18,140.245001,-73.253402,270.0,top
C19,140.225001,-77.673402,270.0,top
C20,144.405001,-79.493402,180.0,bottom
C21,144.405001,-75.393402,0.0,bottom
H1,140.825001,-62.083402,0.0,top
H2,156.125001,-62.083402,0.0,top
H3,140.825001,-103.293402,0.0,top
H4,156.125001,-103.293402,0.0,top
J1,155.663354,-74.274571,90.0,top
J2,155.665001,-84.913402,90.0,top
J3,141.265001,-84.903402,270.0,top
J4,148.745001,-98.703402,0.0,top
J5,148.955001,-62.508402,180.0,top
R1,155.425001,-76.093402,180.0,bottom
R15,149.385001,-69.783402,270.0,top
R2,155.435001,-71.473402,180.0,bottom
R3,155.100001,-86.933402,180.0,bottom
R4,155.175001,-82.033402,180.0,bottom
R5,141.735001,-82.923402,0.0,bottom
R6,141.755001,-87.553402,0.0,bottom
R7,152.605001,-68.078402,0.0,top
R8,145.505001,-68.028402,180.0,top
U1,144.425001,-74.325902,90.0,top
U2,152.895001,-73.813402,180.0,bottom
U3,153.567501,-84.473402,180.0,bottom
U4,144.325001,-85.285902,0.0,bottom
U5,148.737501,-89.163402,270.0,bottom
U6,149.315001,-66.805902,270.0,bottom
Y4,144.405001,-77.463402,0.0,bottom
